id;name;description;length;difficulty;created_at;updated_at
1;Boeuf marengo;Boeuf marengo;67;3;2014-01-23 01:15:20.084975;2014-01-23 01:15:20.084975
2;Boeuf mironton;Boeuf mironton;3;4;2014-01-23 01:15:20.092848;2014-01-23 01:15:20.092848
3;Bricks au boeuf;Bricks au boeuf;80;4;2014-01-23 01:15:20.095574;2014-01-23 01:15:20.095574
4;rognon de boeuf;rognon de boeuf;51;5;2014-01-23 01:15:20.098188;2014-01-23 01:15:20.098188
5;Boeuf Ã  la biÃ¨re;Boeuf Ã  la biÃ¨re;12;5;2014-01-23 01:15:20.100742;2014-01-23 01:15:20.100742
6;Ramens au Boeuf;Ramens au Boeuf;98;5;2014-01-23 01:15:20.103107;2014-01-23 01:15:20.103107
7;Bobotie au boeuf;Bobotie au boeuf;44;5;2014-01-23 01:15:20.105667;2014-01-23 01:15:20.105667
8;CarrÃ© de boeuf et rouleaux de lÃ©gumes;CarrÃ© de boeuf et rouleaux de lÃ©gumes;67;3;2014-01-23 01:15:20.108041;2014-01-23 01:15:20.108041
9;Boeuf olive light;Boeuf olive light;43;4;2014-01-23 01:15:20.110693;2014-01-23 01:15:20.110693
10;Tartine au Carpaccio de Boeuf;Tartine au Carpaccio de Boeuf;67;4;2014-01-23 01:15:20.113136;2014-01-23 01:15:20.113136
11;Tourte de veau;Tourte de veau;95;4;2014-01-23 01:15:21.138362;2014-01-23 01:15:21.138362
12;Blanquette de veau;Blanquette de veau;114;4;2014-01-23 01:15:21.142373;2014-01-23 01:15:21.142373
13;Veau aux asperges;Veau aux asperges;95;5;2014-01-23 01:15:21.145030;2014-01-23 01:15:21.145030
14;Veau Ã  la mangue;Veau Ã  la mangue;103;5;2014-01-23 01:15:21.147656;2014-01-23 01:15:21.147656
15;Paupiettes de veau ;Paupiettes de veau ;3;5;2014-01-23 01:15:21.150108;2014-01-23 01:15:21.150108
16;Le Veau Vert;Le Veau Vert;35;5;2014-01-23 01:15:21.152474;2014-01-23 01:15:21.152474
17;Saltimbocca de veau;Saltimbocca de veau;18;5;2014-01-23 01:15:21.154932;2014-01-23 01:15:21.154932
18;Colombo de veau;Colombo de veau;19;5;2014-01-23 01:15:21.157401;2014-01-23 01:15:21.157401
19;Quenelles de veau maison;Quenelles de veau maison;2;1;2014-01-23 01:15:21.159922;2014-01-23 01:15:21.159922
20;Veau marinÃ© et courgettes au curry;Veau marinÃ© et courgettes au curry;93;3;2014-01-23 01:15:21.162304;2014-01-23 01:15:21.162304
21;Colombo de thon;Colombo de thon;48;4;2014-01-23 01:15:28.104351;2014-01-23 01:15:28.104351
22;Cake au thon;Cake au thon;93;4;2014-01-23 01:15:28.107366;2014-01-23 01:15:28.107366
23;PÃ¢tes au thon;PÃ¢tes au thon;42;4;2014-01-23 01:15:28.109675;2014-01-23 01:15:28.109675
24;Cocotte de thon;Cocotte de thon;111;4;2014-01-23 01:15:28.112182;2014-01-23 01:15:28.112182
25;Thon Ã  la Catalane;Thon Ã  la Catalane;43;4;2014-01-23 01:15:28.114609;2014-01-23 01:15:28.114609
26;Accras de thon;Accras de thon;68;4;2014-01-23 01:15:28.117263;2014-01-23 01:15:28.117263
27;Bruschetta au Thon;Bruschetta au Thon;10;4;2014-01-23 01:15:28.119841;2014-01-23 01:15:28.119841
28;Choux au thon;Choux au thon;91;4;2014-01-23 01:15:28.122470;2014-01-23 01:15:28.122470
29;Daube de thon;Daube de thon;9;4;2014-01-23 01:15:28.138550;2014-01-23 01:15:28.138550
30;PÃªche au thon;PÃªche au thon;11;5;2014-01-23 01:15:28.141595;2014-01-23 01:15:28.141595
31;Quiche aux tomates;Quiche aux tomates;117;4;2014-01-23 01:15:29.330924;2014-01-23 01:15:29.330924
32;Tomates Ã  la mozzarella;Tomates Ã  la mozzarella;83;4;2014-01-23 01:15:29.333738;2014-01-23 01:15:29.333738
33;Tomates Ã  la provencale;Tomates Ã  la provencale;79;4;2014-01-23 01:15:29.336254;2014-01-23 01:15:29.336254
34;RoulÃ©s a la tomate;RoulÃ©s a la tomate;45;4;2014-01-23 01:15:29.338754;2014-01-23 01:15:29.338754
35;Tomates de la mer;Tomates de la mer;56;4;2014-01-23 01:15:29.341494;2014-01-23 01:15:29.341494
36;Tarte aux tomates;Tarte aux tomates;96;4;2014-01-23 01:15:29.343959;2014-01-23 01:15:29.343959
37;Tomates Ã  la menthe;Tomates Ã  la menthe;7;4;2014-01-23 01:15:29.346328;2014-01-23 01:15:29.346328
38;Carpaccio de tomates;Carpaccio de tomates;74;4;2014-01-23 01:15:29.348829;2014-01-23 01:15:29.348829
39;Tomates d'amour;Tomates d'amour;22;4;2014-01-23 01:15:29.351395;2014-01-23 01:15:29.351395
40;Chipolatas aux tomates;Chipolatas aux tomates;109;4;2014-01-23 01:15:29.353879;2014-01-23 01:15:29.353879
41;Tiramisu fraises et fraises Tagada;Tiramisu fraises et fraises Tagada;32;4;2014-01-23 01:15:30.452424;2014-01-23 01:15:30.452424
42;Flan aux fraises;Flan aux fraises;104;3;2014-01-23 01:15:30.456698;2014-01-23 01:15:30.456698
43;Barquettes Ã  la fraise;Barquettes Ã  la fraise;62;3;2014-01-23 01:15:30.473746;2014-01-23 01:15:30.473746
44;Merveille aux fraises;Merveille aux fraises;93;4;2014-01-23 01:15:30.476563;2014-01-23 01:15:30.476563
45;bavarois aux fraises;bavarois aux fraises;35;4;2014-01-23 01:15:30.479070;2014-01-23 01:15:30.479070
46;Panacotta Ã  la fraise;Panacotta Ã  la fraise;27;4;2014-01-23 01:15:30.481507;2014-01-23 01:15:30.481507
47;Tarte aux fraises;Tarte aux fraises;73;4;2014-01-23 01:15:30.483986;2014-01-23 01:15:30.483986
48;confiture de fraise;confiture de fraise;85;4;2014-01-23 01:15:30.486234;2014-01-23 01:15:30.486234
49;fraises Ã  la chantilly;fraises Ã  la chantilly;93;4;2014-01-23 01:15:30.488958;2014-01-23 01:15:30.488958
50;Fraises au mascarpone;Fraises au mascarpone;56;4;2014-01-23 01:15:30.491472;2014-01-23 01:15:30.491472
51;Bar au fenouil;Bar au fenouil;91;3;2014-01-23 01:15:31.559714;2014-01-23 01:15:31.559714
52;Bar au four;Bar au four;93;5;2014-01-23 01:15:31.562666;2014-01-23 01:15:31.562666
53;Tartare de bar pimentÃ©;Tartare de bar pimentÃ©;97;4;2014-01-23 01:15:31.565091;2014-01-23 01:15:31.565091
54;Bar en papillote au muscadet;Bar en papillote au muscadet;30;4;2014-01-23 01:15:31.567804;2014-01-23 01:15:31.567804
55;Bar aux petits lÃ©gumes;Bar aux petits lÃ©gumes;22;5;2014-01-23 01:15:31.570491;2014-01-23 01:15:31.570491
56;Bar grillÃ© aux herbes;Bar grillÃ© aux herbes;8;5;2014-01-23 01:15:31.573063;2014-01-23 01:15:31.573063
57;Bar en croÃ»te de sel ;Bar en croÃ»te de sel ;13;5;2014-01-23 01:15:31.575819;2014-01-23 01:15:31.575819
58;Bar enveloppÃ© de croÃ»te de sel;Bar enveloppÃ© de croÃ»te de sel;13;5;2014-01-23 01:15:31.578356;2014-01-23 01:15:31.578356
59;Bars grillÃ©s au pastis et fenouil;Bars grillÃ©s au pastis et fenouil;56;5;2014-01-23 01:15:31.581085;2014-01-23 01:15:31.581085
60;Bar en gelÃ©e;Bar en gelÃ©e;61;0;2014-01-23 01:15:31.583684;2014-01-23 01:15:31.583684
61;Merlu Ã  la normande;Merlu Ã  la normande;43;5;2014-01-23 01:15:32.693644;2014-01-23 01:15:32.693644
62;Merlu aux lÃ©gumes en papillotes;Merlu aux lÃ©gumes en papillotes;109;4;2014-01-23 01:15:32.696317;2014-01-23 01:15:32.696317
63;DÃ´me de crevettes sur son lit de merlu;DÃ´me de crevettes sur son lit de merlu;64;5;2014-01-23 01:15:32.698703;2014-01-23 01:15:32.698703
64;Merlu Koskera (Pays basque);Merlu Koskera (Pays basque);28;5;2014-01-23 01:15:32.701113;2014-01-23 01:15:32.701113
65;Filet de Merlu en compotÃ©e de lÃ©gumes du soleil et sa semoule;Filet de Merlu en compotÃ©e de lÃ©gumes du soleil et sa semoule;90;4;2014-01-23 01:15:32.704192;2014-01-23 01:15:32.704192
66;Merlu citron Ã©chalote;Merlu citron Ã©chalote;12;4;2014-01-23 01:15:32.706604;2014-01-23 01:15:32.706604
67;Filets de merlu sauce aux cÃ¢pres;Filets de merlu sauce aux cÃ¢pres;31;4;2014-01-23 01:15:32.709271;2014-01-23 01:15:32.709271
68;Merlu blanc au curry;Merlu blanc au curry;88;4;2014-01-23 01:15:32.711827;2014-01-23 01:15:32.711827
69;Merlu blanc et chou-fleur;Merlu blanc et chou-fleur;83;4;2014-01-23 01:15:32.714353;2014-01-23 01:15:32.714353
70;Merlu aux lÃ©gumes et sa sauce blanche;Merlu aux lÃ©gumes et sa sauce blanche;57;4;2014-01-23 01:15:32.716834;2014-01-23 01:15:32.716834
71;Colombo de thon;Colombo de thon;22;4;2014-01-23 01:15:33.799782;2014-01-23 01:15:33.799782
72;Cake au thon;Cake au thon;2;4;2014-01-23 01:15:33.820146;2014-01-23 01:15:33.820146
73;PÃ¢tes au thon;PÃ¢tes au thon;75;4;2014-01-23 01:15:33.822704;2014-01-23 01:15:33.822704
74;Cocotte de thon;Cocotte de thon;100;4;2014-01-23 01:15:33.825163;2014-01-23 01:15:33.825163
75;Thon Ã  la Catalane;Thon Ã  la Catalane;64;4;2014-01-23 01:15:33.828040;2014-01-23 01:15:33.828040
76;Accras de thon;Accras de thon;35;4;2014-01-23 01:15:33.830489;2014-01-23 01:15:33.830489
77;Bruschetta au Thon;Bruschetta au Thon;6;4;2014-01-23 01:15:33.833028;2014-01-23 01:15:33.833028
78;Choux au thon;Choux au thon;75;4;2014-01-23 01:15:33.835647;2014-01-23 01:15:33.835647
79;Daube de thon;Daube de thon;109;4;2014-01-23 01:15:33.838531;2014-01-23 01:15:33.838531
80;PÃªche au thon;PÃªche au thon;100;5;2014-01-23 01:15:33.841469;2014-01-23 01:15:33.841469
81;Cake aux Ã©pinards;Cake aux Ã©pinards;4;4;2014-01-23 01:15:35.373704;2014-01-23 01:15:35.373704
82;Epinards crÃ©meux;Epinards crÃ©meux;16;5;2014-01-23 01:15:35.376259;2014-01-23 01:15:35.376259
83;Rouleaux aux Ã©pinards;Rouleaux aux Ã©pinards;77;5;2014-01-23 01:15:35.378699;2014-01-23 01:15:35.378699
84;Epinards au jambon;Epinards au jambon;62;5;2014-01-23 01:15:35.381236;2014-01-23 01:15:35.381236
85;Tarte aux Ã©pinards;Tarte aux Ã©pinards;15;5;2014-01-23 01:15:35.384060;2014-01-23 01:15:35.384060
86;Galettes d'Ã©pinards;Galettes d'Ã©pinards;79;5;2014-01-23 01:15:35.386593;2014-01-23 01:15:35.386593
